score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
drift sigma 0.04  proposals per point 40  seed 7  kT 2.4943

radius 0.70  waters 44
  move    step    RMS nm     dU/kT     logH     accept
    rw   0.120    0.0127    56.728    0.000  2.308e-25
    rw   0.120    0.0128    36.094    0.000  2.111e-16
    rw   0.120    0.0128    40.742    0.000  2.022e-18
    rw   0.120    0.0128    30.356    0.000  6.553e-14
    rw   0.120    0.0128    47.545    0.000  2.246e-21
    rw   0.120    0.0128    58.583    0.000  3.613e-26
    rw   0.120    0.0130    46.819    0.000  4.645e-21
    rw   0.120    0.0130    48.598    0.000  7.841e-22
    rw   0.120    0.0130    58.658    0.000  3.351e-26
    rw   0.120    0.0130    36.132    0.000  2.033e-16
    rw   0.120    0.0131    35.004    0.000  6.278e-16
    rw   0.120    0.0132    44.075    0.000  7.220e-20
    rw   0.120    0.0133    39.978    0.000  4.343e-18
    rw   0.120    0.0136    56.440    0.000  3.078e-25
    rw   0.120    0.0136    33.864    0.000  1.963e-15
    rw   0.120    0.0137    37.986    0.000  3.183e-17
    rw   0.120    0.0137    46.969    0.000  3.997e-21
    rw   0.120    0.0138    45.666    0.000  1.471e-20
    rw   0.120    0.0140    34.967    0.000  6.519e-16
    rw   0.120    0.0141    66.538    0.000  1.267e-29
    rw   0.120    0.0142    56.039    0.000  4.596e-25
    rw   0.120    0.0143    60.337    0.000  6.254e-27
    rw   0.120    0.0144    46.944    0.000  4.098e-21
    rw   0.120    0.0146    67.277    0.000  6.051e-30
    rw   0.120    0.0147    69.808    0.000  4.817e-31
    rw   0.120    0.0147    48.823    0.000  6.258e-22
    rw   0.120    0.0148    64.659    0.000  8.298e-29
    rw   0.120    0.0152    52.719    0.000  1.271e-23
    rw   0.160    0.0148    46.292    0.000  7.861e-21
    rw   0.160    0.0155    69.207   -0.000  8.788e-31
    rw   0.160    0.0164    49.763    0.000  2.445e-22
    rw   0.160    0.0166    68.919    0.000  1.172e-30
    rw   0.160    0.0167    75.220   -0.000  2.149e-33
    rw   0.160    0.0169    71.725    0.000  7.084e-32
    rw   0.160    0.0170    78.515    0.000  7.966e-35
    rw   0.160    0.0171    95.804    0.000  2.470e-42
    rw   0.160    0.0172    76.172    0.000  8.293e-34
    rw   0.160    0.0172    61.276   -0.000  2.444e-27
    rw   0.160    0.0172    82.161    0.000  2.079e-36
    rw   0.160    0.0173    73.742   -0.000  9.425e-33
    rw   0.160    0.0173    79.117    0.000  4.366e-35
    rw   0.160    0.0173    64.722    0.000  7.794e-29
    rw   0.160    0.0175    65.173    0.000  4.965e-29
    rw   0.160    0.0176    76.912   -0.000  3.960e-34
    rw   0.160    0.0176    71.073    0.000  1.359e-31
    rw   0.160    0.0176    64.108    0.000  1.440e-28
    rw   0.160    0.0177    60.387    0.000  5.948e-27
    rw   0.160    0.0177    65.022    0.000  5.770e-29
    rw   0.160    0.0177    69.370    0.000  7.467e-31
    rw   0.160    0.0178    80.983    0.000  6.751e-36
    rw   0.160    0.0178    74.393    0.000  4.913e-33
    rw   0.160    0.0179    71.249    0.000  1.140e-31
    rw   0.160    0.0181    67.966    0.000  3.038e-30
    rw   0.160    0.0181    60.399    0.000  5.874e-27
    rw   0.160    0.0182    78.791    0.000  6.047e-35
    rw   0.160    0.0182    71.888    0.000  6.019e-32
    rw   0.160    0.0184    76.636    0.000  5.217e-34
    rw   0.160    0.0184    96.857    0.000  8.622e-43
    rw   0.160    0.0185    75.997    0.000  9.883e-34
    rw   0.160    0.0186    70.284    0.000  2.992e-31
    rw   0.160    0.0186    69.908   -0.000  4.357e-31
    rw   0.160    0.0186    75.596    0.000  1.476e-33
    rw   0.160    0.0187    71.600    0.000  8.029e-32
    rw   0.160    0.0187    87.461    0.000  1.038e-38
    rw   0.160    0.0189    78.165    0.000  1.131e-34
    rw   0.160    0.0190    95.253    0.000  4.286e-42
    rw   0.160    0.0201    88.801    0.000  2.718e-39
    rw   0.160    0.0205    95.541    0.000  3.213e-42

 drift   0.020    0.0038    10.273   -4.844  2.721e-07
 drift   0.020    0.0039     7.379   -4.404  7.629e-06
 drift   0.020    0.0041    12.679   -0.060  2.936e-06
 drift   0.020    0.0041    13.430   -1.321  3.924e-07
 drift   0.020    0.0042     7.818   -7.570  2.077e-07
 drift   0.020    0.0042    11.125   -3.188  6.082e-07
 drift   0.020    0.0042    14.107   -4.448  8.742e-09
 drift   0.020    0.0042    11.125   -3.243  5.753e-07
 drift   0.020    0.0042     4.322   -6.305  2.425e-05
 drift   0.020    0.0043     8.883   -3.024  6.747e-06
 drift   0.020    0.0043    10.123   -7.898  1.492e-08
 drift   0.020    0.0043     5.563   -5.582  1.445e-05
 drift   0.020    0.0043    11.175   -3.215  5.630e-07
 drift   0.020    0.0044    10.962   -7.276  1.200e-08
 drift   0.020    0.0044    12.879    0.492  4.172e-06
 drift   0.020    0.0044    14.984    0.526  5.261e-07
