score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
proposals per point 40  seed 21  kT 2.4943

radius 0.50  waters 19
    move    step    RMS nm     dU/kT     accept
  jiggle   1.500    0.0260    59.911  9.575e-27
  jiggle   1.500    0.0264    74.606  3.970e-33
  jiggle   1.500    0.0266    99.726  4.894e-44
  jiggle   1.500    0.0268    98.786  1.252e-43
  jiggle   1.500    0.0269    52.694  1.304e-23
  jiggle   1.500    0.0269    66.663  1.118e-29
  jiggle   1.500    0.0270    86.859  1.895e-38
  jiggle   1.500    0.0274    78.089  1.220e-34
  jiggle   1.500    0.0275   136.346  6.103e-60
  jiggle   1.500    0.0275    54.273  2.689e-24
  jiggle   1.500    0.0275   106.241  7.249e-47
  jiggle   1.500    0.0277    51.003  7.074e-23
  jiggle   1.500    0.0277   185.382  3.087e-81
  jiggle   1.500    0.0278    87.035  1.590e-38
  jiggle   1.500    0.0280    40.391  2.872e-18
  jiggle   1.500    0.0281    93.474  2.539e-41
  jiggle   1.500    0.0283    89.578  1.250e-39
  jiggle   1.500    0.0288   142.861  9.042e-63
  jiggle   1.500    0.0293    90.079  7.572e-40
  jiggle   1.500    0.0293   147.258  1.113e-64
  jiggle   1.500    0.0295   124.169  1.186e-54
  jiggle   1.500    0.0305   113.795  3.796e-50
  jiggle   1.500    0.0307   100.089  3.403e-44
  jiggle   1.500    0.0313   690.915 8.702e-301
  jiggle   2.000    0.0314   137.912  1.275e-60
  jiggle   2.000    0.0319   133.653  9.024e-59
  jiggle   2.000    0.0319    84.967  1.256e-37
  jiggle   2.000    0.0320   180.296  4.995e-79
  jiggle   2.000    0.0329   136.484  5.318e-60
  jiggle   1.500    0.0330   115.649  5.944e-51
  jiggle   2.000    0.0330   125.209  4.194e-55
  jiggle   2.000    0.0331   133.164  1.471e-58
  jiggle   2.000    0.0333   107.681  1.716e-47
  jiggle   2.000    0.0333    74.368  5.037e-33
  jiggle   1.500    0.0334   229.733 1.692e-100
  jiggle   2.000    0.0337    84.767  1.535e-37
  jiggle   2.000    0.0344   128.566  1.460e-56
  jiggle   2.000    0.0344    75.007  2.659e-33
  jiggle   2.000    0.0347   436.626 2.375e-190
  jiggle   2.000    0.0348   152.558  5.558e-67
  jiggle   2.000    0.0348    86.007  4.441e-38
  jiggle   2.000    0.0352   175.272  7.592e-77
  jiggle   2.000    0.0353   111.778  2.854e-49
  jiggle   2.000    0.0356   131.661  6.615e-58
  jiggle   2.000    0.0358   173.944  2.865e-76
  jiggle   2.000    0.0362   157.657  3.392e-69
  jiggle   2.000    0.0365   203.962  2.633e-89
  jiggle   2.000    0.0366   219.760  3.626e-96
  jiggle   2.000    0.0370   202.671  9.570e-89
  jiggle   2.000    0.0370    84.303  2.441e-37
  jiggle   2.000    0.0372   208.773  2.144e-91
  jiggle   2.000    0.0375   188.026  2.195e-82
  jiggle   2.000    0.0376   185.395  3.048e-81
  jiggle   2.000    0.0378   483.395 1.160e-210
  jiggle   2.000    0.0379   383.305 3.408e-167
  jiggle   2.000    0.0382   151.067  2.468e-66
  jiggle   2.000    0.0386   194.992  2.071e-85
  jiggle   2.000    0.0387    84.566  1.876e-37
  jiggle   2.000    0.0388   371.930 2.971e-162
  jiggle   2.000    0.0391   176.901  1.490e-77
  jiggle   2.000    0.0395   121.463  1.776e-53
  jiggle   2.000    0.0395   150.503  4.338e-66
  jiggle   2.000    0.0400   381.288 2.562e-166
  jiggle   2.000    0.0400    90.781  3.754e-40
  jiggle   2.000    0.0405   205.616  5.038e-90
  jiggle   2.000    0.0412   115.887  4.685e-51
  jiggle   3.000    0.0451   743.233 1.482e-323
  jiggle   3.000    0.0466   160.764  1.517e-70
  jiggle   3.000    0.0489   640.789 5.118e-279
  jiggle   3.000    0.0491   447.225 5.923e-195
  jiggle   3.000    0.0496   186.309  1.221e-81
  jiggle   3.000    0.0497   234.719 1.156e-102
  jiggle   3.000    0.0499   418.999 1.074e-182
  jiggle   3.000    0.0500  1429.738  0.000e+00
  jiggle   3.000    0.0500   407.310 1.281e-177
  jiggle   3.000    0.0502   204.100  2.294e-89
  jiggle   3.000    0.0518   238.027 4.231e-104
  jiggle   3.000    0.0518   431.414 4.356e-188
  jiggle   3.000    0.0519   406.646 2.489e-177
  jiggle   3.000    0.0526   387.477 5.256e-169
  jiggle   3.000    0.0526   320.601 5.818e-140
  jiggle   3.000    0.0528   220.437  1.843e-96
  jiggle   3.000    0.0530   456.559 5.236e-199
  jiggle   3.000    0.0530   641.766 1.926e-279
  jiggle   3.000    0.0532   537.442 3.907e-234
  jiggle   3.000    0.0532   163.959  6.217e-72
  jiggle   3.000    0.0534   416.005 2.145e-181
  jiggle   3.000    0.0537   382.353 8.832e-167
  jiggle   3.000    0.0539   652.828 3.022e-284
  jiggle   3.000    0.0539  5370.023  0.000e+00
  jiggle   3.000    0.0540   373.709 5.016e-163
  jiggle   3.000    0.0541   237.087 1.083e-103
  jiggle   3.000    0.0542   517.309 2.166e-225
  jiggle   3.000    0.0553  1997.887  0.000e+00
  jiggle   3.000    0.0560   446.311 1.478e-194
  jiggle   3.000    0.0574   252.359 2.523e-110
  jiggle   3.000    0.0582  2181.315  0.000e+00
  jiggle   3.000    0.0582   414.802 7.143e-181
  jiggle   3.000    0.0585   705.648 3.475e-307
  jiggle   3.000    0.0588   501.348 1.851e-218
  jiggle   3.000    0.0589   299.190 1.157e-130
  jiggle   3.000    0.0590   373.433 6.608e-163
  jiggle   3.000    0.0593  1235.222  0.000e+00
  jiggle   3.000    0.0599 26063.639  0.000e+00
  jiggle   3.000    0.0603   343.678 5.526e-150
  jiggle   3.000    0.0605  2404.370  0.000e+00

  rotate   0.005    0.0031     0.313  7.311e-01
  rotate   0.005    0.0031    -0.075  1.000e+00
  rotate   0.005    0.0031    -0.401  1.000e+00
  rotate   0.005    0.0031    -0.050  1.000e+00
  rotate   0.005    0.0031    -1.178  1.000e+00
  rotate   0.005    0.0031     0.839  4.320e-01
  rotate   0.005    0.0032    -0.226  1.000e+00
  rotate   0.005    0.0032    -1.140  1.000e+00
  rotate   0.005    0.0032     0.965  3.811e-01
  rotate   0.005    0.0032    -0.288  1.000e+00
  rotate   0.005    0.0032    -0.200  1.000e+00
  rotate   0.005    0.0032    -2.405  1.000e+00
  rotate   0.005    0.0032    -0.451  1.000e+00
  rotate   0.005    0.0033    -0.301  1.000e+00
  rotate   0.005    0.0033    -0.451  1.000e+00
  rotate   0.005    0.0033    -1.453  1.000e+00
  rotate   0.005    0.0033     0.890  4.109e-01
  rotate   0.005    0.0033     0.301  7.403e-01
  rotate   0.005    0.0033    -0.589  1.000e+00
  rotate   0.005    0.0033     1.015  3.625e-01
  rotate   0.005    0.0033    -1.040  1.000e+00
  rotate   0.005    0.0033     1.942  1.434e-01
  rotate   0.005    0.0033     0.401  6.697e-01
  rotate   0.005    0.0033     0.251  7.784e-01
  rotate   0.005    0.0033    -0.714  1.000e+00
  rotate   0.005    0.0033     0.864  4.213e-01
  rotate   0.005    0.0033     0.890  4.109e-01
  rotate   0.005    0.0033     1.052  3.491e-01
  rotate   0.005    0.0034     2.493  8.265e-02
